Location,Region Name,Zone Name,lat,lng,Number of staff,Number of Doctors,Percentage of underweight Children,Proportion of children 6-59 months with severe acute malnutrition,Proportion of HHs using latrine,Malaria rate,Proportion of  households covered with mosquito bed nets(LLIN),Proportion of functional 1 to 5 networks,Health budget utilization,Essential drugs availability,Integrated Supportive supervision,Reporting completeness
marti,oromiya,arsi,8.55899471388,39.8786794898,106.0,0.0,6391.08403397,2772.92571592,1162.85119629,9.46806387329,749.162506103,12711.8378448,200.0,1459.0,1976.66665649,14800.0654678
masha wor,snnpr,sheka,7.73007973514,35.4684882945,146.0,0.0,478.610274978,113.627123475,21600.1002808,0.464550562382,749.162506103,31209.6384277,260.955513,1039.5,5334.99981689,7000.0
mecha,amhara,west gojam,11.3324466068,37.1583960339,366.0,0.0,1045.53001988,171.971461087,30984.0568848,19.9757650757,3395.2253418,52527.6986084,932.236816406,3957.0,31168.3326416,47327.6191406
mede walabu,oromiya,bale,5.77030560561,40.0353071116,92.0,0.0,6893.44268799,2027.1866188,10571.718338,1.97618091774,1789.3729248,21451.2008972,118.496902466,1200.0,7416.66656494,10802.5903854
megale,afar,afar,13.0229248342,40.0180348986,239.0,0.0,451.304351807,708.222226977,1011.14892578,2.46907343483,383.201202393,149.999994278,300.0,439.0,120.416664124,4422.22219849
meiso,somali,somali,9.64028136467,41.0154298869,106.0,0.0,906.914741516,576.017425537,210.0,18.3348369751,749.162506103,858.333328247,200.0,402.0,1833.33325195,2036.11109161
mekdela,amhara,south wolo,11.2423010698,38.9296587041,169.0,0.0,15880.5130005,2622.67820549,176524.005615,9.55848574066,1700.0,43827.03125,700.0,2082.0,19649.9998779,17583.333313
meket,amhara,north wollo,11.8199983046,38.8208430678,106.0,0.0,21393.3979492,5447.5551796,35500.2263184,27.8158029785,749.162506103,35869.5620422,200.0,2527.0,22424.9998779,19230.9090576
meko,oromiya,ilu ababor,8.74916535618,35.9844375109,26.0,0.0,0.0,0.0,320.0,1.51,749.162506103,1365.05828857,100.0,202.0,100.0,1100.0
mekoy,gambella,gambella,8.27435160999,33.6398029089,106.0,0.0,681.729324341,417.757588387,620.714294434,2.05737533569,749.162506103,798.652954102,200.0,113.0,200.0,833.333332062
melga,snnpr,sidama,6.9288290955,38.6386059,106.0,0.0,455.102324963,58.0884544849,3633.44400024,1.1780463419,749.162506103,6144.34765625,200.0,1039.5,1704.22221375,2783.00650787
